Geography,Year,%_of_babies
Clackamas County,1998,5.7
Clackamas County,1999,5
Clackamas County,2000,5.5
Clackamas County,2001,5.8
Clackamas County,2002,5
Clackamas County,2003,6
Clackamas County,2004,5.6
Clackamas County,2005,5.1
Clackamas County,2006,6.2
Clackamas County,2007,5.2
Clackamas County,2008,5.9
Clackamas County,2009,5.7
Clackamas County,2010,6.5
Clackamas County,2011,5.6
Clackamas County,2012,5.4
Clackamas County,2013,6.1
Clackamas County,2014,6.2
Clackamas County,2015,6
Clark County,1998,5.2
Clark County,1999,4.5
Clark County,2000,5.3
Clark County,2001,4.6
Clark County,2002,3.9
Clark County,2003,5.3
Clark County,2004,5.7
Clark County,2005,5.1
Clark County,2006,6
Clark County,2007,6.5
Clark County,2008,6.2
Clark County,2009,6.2
Clark County,2010,6.4
Clark County,2011,5.9
Clark County,2012,5.8
Clark County,2013,6
Clark County,2014,6.2
Clark County,2015,6.1
Columbia County,1998,4.5
Columbia County,1999,6.7
Columbia County,2000,3.4
Columbia County,2001,3.6
Columbia County,2002,4.5
Columbia County,2003,6.3
Columbia County,2004,6.5
Columbia County,2005,5.6
Columbia County,2006,5.1
Columbia County,2007,4.3
Columbia County,2008,7.6
Columbia County,2009,7
Columbia County,2010,5.5
Columbia County,2011,6.2
Columbia County,2012,8.2
Columbia County,2013,4.6
Columbia County,2014,5.7
Columbia County,2015,5.7
Multnomah County,1998,5.9
Multnomah County,1999,5.3
Multnomah County,2000,6.8
Multnomah County,2001,5.9
Multnomah County,2002,6.2
Multnomah County,2003,6.5
Multnomah County,2004,6.4
Multnomah County,2005,6.7
Multnomah County,2006,6.1
Multnomah County,2007,6.2
Multnomah County,2008,6.8
Multnomah County,2009,7.4
Multnomah County,2010,6.6
Multnomah County,2011,6
Multnomah County,2012,6.3
Multnomah County,2013,6.4
Multnomah County,2014,6.2
Multnomah County,2015,6.4
Oregon,1998,5.4
Oregon,1999,5.4
Oregon,2000,5.7
Oregon,2001,5.6
Oregon,2002,5.8
Oregon,2003,6.1
Oregon,2004,6.1
Oregon,2005,6.1
Oregon,2006,6.1
Oregon,2007,6.1
Oregon,2008,6.1
Oregon,2009,6.3
Oregon,2010,6.3
Oregon,2011,6.1
Oregon,2012,6.2
Oregon,2013,6.3
Oregon,2014,6.2
Oregon,2015,6.4
Skamania County,1998,1.9
Skamania County,1999,6.7
Skamania County,2000,4.3
Skamania County,2001,4.6
Skamania County,2002,8.2
Skamania County,2003,4.4
Skamania County,2004,8.5
Skamania County,2005,6.4
Skamania County,2006,5.5
Skamania County,2007,4
Skamania County,2008,8.8
Skamania County,2009,0.8
Skamania County,2010,8
Skamania County,2011,6.1
Skamania County,2012,11.1
Skamania County,2013,5.1
Skamania County,2014,4.5
Skamania County,2015,8.4
United States,1998,7.6
United States,1999,7.6
United States,2000,7.6
United States,2001,7.7
United States,2002,7.8
United States,2003,7.9
United States,2004,8.1
United States,2005,8.2
United States,2006,8.3
United States,2007,8.2
United States,2008,8.2
United States,2009,8.2
United States,2010,8.1
United States,2011,8.1
United States,2012,8
United States,2013,8
United States,2014,8
United States,2015,8.1
Washington  ,1998,5.7
Washington  ,1999,5.8
Washington  ,2000,5.6
Washington  ,2001,5.8
Washington  ,2002,5.7
Washington  ,2003,6
Washington  ,2004,6.2
Washington  ,2005,6.1
Washington  ,2006,6.5
Washington  ,2007,6.3
Washington  ,2008,6.3
Washington  ,2009,6.2
Washington  ,2010,6.3
Washington  ,2011,6.1
Washington  ,2012,6.1
Washington  ,2013,6.4
Washington  ,2014,6.4
Washington  ,2015,6.5
Washington County,1998,5.3
Washington County,1999,5.2
Washington County,2000,5.8
Washington County,2001,5.6
Washington County,2002,5.9
Washington County,2003,6
Washington County,2004,6.2
Washington County,2005,5.9
Washington County,2006,6.2
Washington County,2007,5.9
Washington County,2008,5.6
Washington County,2009,6.3
Washington County,2010,5.6
Washington County,2011,6
Washington County,2012,6.2
Washington County,2013,5.8
Washington County,2014,5.9
Washington County,2015,6.1
Yamhill County,1998,5.1
Yamhill County,1999,6.1
Yamhill County,2000,5.8
Yamhill County,2001,5
Yamhill County,2002,6.4
Yamhill County,2003,5.6
Yamhill County,2004,5.2
Yamhill County,2005,5.9
Yamhill County,2006,5.4
Yamhill County,2007,5.5
Yamhill County,2008,5
Yamhill County,2009,5.5
Yamhill County,2010,5.5
Yamhill County,2011,6.5
Yamhill County,2012,4.7
Yamhill County,2013,6.2
Yamhill County,2014,5.4
Yamhill County,2015,6
